freq,coop_ptn,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,APPL,P_MHAB,PT	4.96 	3.90 	7.51 	6.73 	8.05 	10.69 	7.66 	7.67 	7.23 	9.08 	10.86 	13.61 	15.21 	14.56 	21.49 	26.44 	24.38 	28.09 bp	29.97 bp	31.43 p
A,APPL,P_MHAB,RO	0.51 	0.38 	0.75 	0.77 	0.88 	0.79 	0.69 	0.99 	1.74 	1.65 	1.41 	1.51 	1.57 	2.65 	2.57 	2.06 e	2.85 e	1.62 e	2.42 ep	2.2 ep
A,APPL,P_MHAB,RS	: 	: 	: 	: 	: 	0.55 	1.10 	0.83 b	0.69 	1.54 	1.54 	0.56 	0.14 	1.42 	1.29 	1.30 	1.16 	2.93 	1.93 	2.11 bp
A,APPL,P_MHAB,SE	270.08 	275.32 	280.60 	298.42 	339.93 	338.44 	382.81 	385.01 	369.56 	382.69 	399.44 	391.77 	357.45 	376.13 	398.52 	427.58 	427.10 	474.95 	480.6 	488.43 p
A,APPL,P_MHAB,SI	25.54 	43.49 	44.85 	56.98 	63.33 b	56.38 	63.95 	62.84 	52.50 	65.54 	60.62 	57.18 	54.72 	47.43 	48.22 	58.42 	78.48 	55.03 	58.24 	72.27 p
A,APPL,P_MHAB,SK	2.23 	2.98 	3.54 	3.54 	5.21 	4.83 	4.64 	7.97 	6.47 	5.36 	4.80 	8.67 	8.1 	7.54 	9.36 	7.70 	9.89 	7.89 	8.84 	10.32 p
A,APPL,P_MHAB,TR	0.98 	0.99 	2.08 	2.08 	2.74 	2.64 	3.87 	5.00 	5.28 	4.95 	5.22 	5.71 	6.60 	11.34 	7.05 be	5.70 be	7.26 	8.73 	6.59 	7.05 p
A,INVT,NR,AL	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	3 	0 	2 	0 	0 	2 	1 	3 	7 	8 p
A,INVT,NR,AT	: 	: 	: 	: 	: 	: 	: 	1872 	2011 	2131 	2138 	2177 	2219 	2394 	2488 	2530 	2478 	2386 	2546 	2570 p
A,INVT,NR,BA	: 	: 	: 	: 	: 	: 	: 	1 	1 	2 	3 	2 	1 	2 	4 	3 	4 	0 	8 	9 p
A,INVT,NR,BE	: 	: 	: 	: 	: 	: 	: 	1955 	1956 	2106 	2186 	2147 	2321 	2240 	2337 	2355 	2341 	2477 	2516 	2599 p
A,INVT,NR,BG	: 	: 	: 	: 	: 	: 	: 	21 	26 	35 	33 	43 	27 	36 	43 	48 	62 	48 	58 	50 p
A,INVT,NR,CH	: 	: 	: 	: 	: 	: 	: 	4452 	4536 	4605 	4580 	5037 	4895 	4933 	5271 	5556 	5582 	7325 	5788 	5938 p
A,INVT,NR,CY	: 	: 	: 	: 	: 	: 	: 	17 	25 	12 	10 	14 	15 	14 	13 	17 	24 	36 	19 	23 p
A,INVT,NR,CZ	: 	: 	: 	: 	: 	: 	: 	223 	216 	223 	255 	287 	284 	297 	364 	273 	293 	233 	332 	354 p
A,INVT,NR,DE	: 	: 	: 	: 	: 	: 	: 	26852 	27748 	26648 	25898 	25117 	25602 	26090 	27367 	27804 	27129 	26412 	26188 	26847 p
A,INVT,NR,DK	: 	: 	: 	: 	: 	: 	: 	1867 	1724 	1892 	1964 	1896 	1850 	2040 	2288 	2253 	2292 	2590 	2549 	2531 p
A,INVT,NR,EE	: 	: 	: 	: 	: 	: 	: 	46 	48 	50 	36 	36 	45 	57 	50 	53 	59 	70 	62 	67 p
A,INVT,NR,EL	: 	: 	: 	: 	: 	: 	: 	94 	100 	88 	125 	117 	94 	134 	150 	168 	169 	223 	242 	209 p
A,INVT,NR,ES	: 	: 	: 	: 	: 	: 	: 	1675 	1829 	1800 	1783 	1798 	1884 	2141 	2248 	2322 	2217 	2135 	2425 	2577 p
A,INVT,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	59733 	60339 	60685 	62191 	61915 	62998 	64864 	67667 	67968 	67235 	68088 	68668 	69879 p
A,INVT,NR,FI	: 	: 	: 	: 	: 	: 	: 	1332 	1578 	1635 	1812 	1657 	1587 	1520 	1563 	1593 	1630 	1879 	1579 	1697 p
A,INVT,NR,FR	: 	: 	: 	: 	: 	: 	: 	9462 	9399 	9531 	10126 	10368 	10493 	10806 	10833 	10592 	10796 	10751 	11091 	10808 p
A,INVT,NR,HR	: 	: 	: 	: 	: 	: 	: 	27 	29 	21 	23 	20 	29 	20 	31 	38 	39 	29 	54 	68 p
A,INVT,NR,HU	: 	: 	: 	: 	: 	: 	: 	191 	225 	230 	236 	198 	199 	212 	245 	228 	247 	192 	244 	226 p
A,INVT,NR,IE	: 	: 	: 	: 	: 	: 	: 	446 	452 	452 	565 	490 	557 	547 	537 	587 	660 	837 	686 	655 p
A,INVT,NR,IS	: 	: 	: 	: 	: 	: 	: 	32 	36 	27 	33 	40 	29 	45 	31 	46 	40 	61 	47 	39 p
A,INVT,NR,IT	: 	: 	: 	: 	: 	: 	: 	4793 	4555 	4406 	4367 	4677 	4834 	5058 	5227 	5211 	5368 	5215 	5581 	5685 p
A,INVT,NR,LI	: 	: 	: 	: 	: 	: 	: 	43 	30 	40 	44 	66 	39 	38 	53 	49 	54 	322 	36 	38 p
A,INVT,NR,LT	: 	: 	: 	: 	: 	: 	: 	16 	18 	22 	25 	41 	25 	28 	38 	34 	54 	71 	84 	131 p
A,INVT,NR,LU	: 	: 	: 	: 	: 	: 	: 	102 	98 	77 	100 	85 	118 	106 	103 	120 	133 	301 	146 	140 p
A,INVT,NR,LV	: 	: 	: 	: 	: 	: 	: 	31 	29 	80 	9 	30 	11 	16 	18 	23 	38 	23 	35 	35 p
A,INVT,NR,ME	: 	: 	: 	: 	: 	: 	: 	0 	1 	1 	0 	0 	2 	1 	2 	0 	7 	2 	0 	0 p
A,INVT,NR,MK	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	1 	1 	2 	0 	0 	0 	1 	5 	2 	3 p
A,INVT,NR,MT	: 	: 	: 	: 	: 	: 	: 	6 	2 	5 	4 	11 	7 	18 	14 	23 	21 	40 	31 	30 p
A,INVT,NR,NL	: 	: 	: 	: 	: 	: 	: 	4907 	4310 	5323 	6300 	6326 	6382 	6340 	6399 	6276 	5871 	6341 	6399 	6628 p
A,INVT,NR,NO	: 	: 	: 	: 	: 	: 	: 	523 	608 	589 	595 	565 	563 	542 	589 	600 	627 	633 	632 	698 p
A,INVT,NR,PL	: 	: 	: 	: 	: 	: 	: 	344 	497 	482 	627 	710 	569 	675 	767 	683 	665 	617 	893 	983 p
A,INVT,NR,PT	: 	: 	: 	: 	: 	: 	: 	105 	93 	120 	143 	152 	183 	173 	271 	308 	265 	304 	362 	362 p
A,INVT,NR,RO	: 	: 	: 	: 	: 	: 	: 	54 	63 	74 	90 	128 	127 	158 	219 	162 	107 	47 	87 	107 p
A,INVT,NR,RS	: 	: 	: 	: 	: 	: 	: 	9 	13 	17 	21 	12 	8 	26 	19 	16 	21 	27 	25 	21 p
A,INVT,NR,SE	: 	: 	: 	: 	: 	: 	: 	3072 	3136 	3044 	3128 	3179 	3311 	3526 	3840 	4020 	3958 	4637 	4196 	4196 p
A,INVT,NR,SI	: 	: 	: 	: 	: 	: 	: 	168 	126 	153 	165 	149 	162 	152 	136 	169 	222 	136 	169 	179 p
A,INVT,NR,SK	: 	: 	: 	: 	: 	: 	: 	54 	47 	45 	42 	64 	63 	67 	79 	78 	96 	60 	94 	122 p
A,INVT,NR,TR	: 	: 	: 	: 	: 	: 	: 	416 	435 	420 	447 	501 	551 	961 	613 	513 	648 	743 	614 	653 p
A,INVT,P_MHAB,AL	: 	: 	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	1.04 	0.00 	0.70 	0.00 	0.00 	0.70 	0.35 	1.07 	2.52 	2.9 p
